"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"57540968";"02";"5752608";"";"";"20527";"GRADUAÇÃO";"Campus Caicó";"B02";"2009";"2";"2009-08-10";"2009-12-16";"2T1234 3T12";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-09 19:39:52.16";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540969";"03";"5752603";"";"";"26320";"GRADUAÇÃO";"Campus Caicó";"B03";"2009";"2";"2009-08-10";"2009-12-16";"3M12  2T1234";"";"1";"ENSINO INDIVIDUAL";"f";"2009-12-14 13:26:48.822";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540970";"01";"58407";"";"";"22546";"GRADUAÇÃO";"Campus Caicó";"B04";"2009";"2";"2009-08-10";"2009-12-16";"6T1234";"";"2";"ENSINO INDIVIDUAL";"f";"2009-12-01 09:57:13.695";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540971";"03";"5752419";"";"";"28216";"GRADUAÇÃO";"Campus Central";"LAB II";"2009";"2";"2009-08-10";"2009-12-16";"24M34";"";"3";"ENSINO INDIVIDUAL";"f";"2009-12-21 10:47:06.202";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"5751875";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"5752832";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"26227";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"17729";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"5752798";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"5752440";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57540972";"01";"26270";"";"";"22811";"GRADUAÇÃO";"Campus Central";"DBF";"2009";"2";"2009-08-10";"2009-12-16";"3T34 5T456";"29";"40";"REGULAR";"f";"2009-12-18 15:28:50.183";"f";"";"";"CONSOLIDADA";"";"Presencial"
